closed_at,opened_at,ticker,entry_price,exit_price,qty,pnl_pct,pnl_dollars,gross_pnl_dollars,transaction_costs_dollars,setup,exit_reason,engine,book
2026-08-17T13:30:41.781299,2026-08-14T14:08:56.621129,STLD,262.055,252.87,0.7864,-3.5,-8.46,,,"technical score 80/100, strong setup, adding to position.",ma_breakdown,,
2026-08-18T12:50:28.989737,2026-08-13T21:56:05.761157,CVX,197.72,202.73,24.8836,2.53,124.67,,,,negative_news,,
2026-08-18T13:56:26.881846,2026-08-14T14:08:57.204128,COHR,342.35,312.86,7.9896,-8.61,-235.61,,,"technical score 70/100, strong signal on technicals alone with opening-range breakout (above).",hard_loss_cap,,
2026-08-18T18:12:35.403637,2026-08-18T13:56:31.629221,ICE,156.305,157.96,15.5354,1.06,25.71,,,,negative_news,,
2026-08-19T13:42:38.864688,2026-08-19T13:41:09.336349,INTC,94.3,94.245,51.5371,-0.06,-2.83,,,"technical score 59/100, strong signal on technicals alone.",ma_breakdown,,
2026-08-19T13:49:29.126883,2026-08-19T13:43:04.274719,IBKR,89.64,89.93,50.3871,0.32,14.61,,,"technical score 74/100, strong signal on technicals alone.",ma_breakdown,,
2026-08-19T14:10:34.706603,2026-08-19T13:41:15.545579,ANET,189.5,186.35,6.2335,-1.66,-19.64,,,"technical score 71/100, strong signal on technicals alone.",ma_breakdown,,
2026-08-19T14:12:34.241233,2026-08-19T08:02:44.021814,HPE,55.3609,51.88,182.5317,-6.29,-635.38,,,,ma_breakdown,,
2026-08-19T16:26:31.230841,2026-08-19T13:41:08.113074,SNDK,1637.89,1588.43,1.5721,-3.02,-77.76,,,"technical score 79/100, strong signal on technicals alone.",negative_news,,
2026-08-19T16:58:29.345067,2026-08-19T16:28:42.759849,NOW,129.41,128.73,19.2179,-0.53,-13.07,,,,negative_news,,
2026-08-19T21:45:12.936100,2026-08-19T21:45:12.932967,STLD,262.442,253.142,0.7864,-3.63,-8.79,-8.57,0.22,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.937979,2026-08-19T21:45:12.931285,CVX,197.69,204.63,24.8836,3.41,167.69,172.69,5.01,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.940239,2026-08-19T21:45:12.933512,COHR,341.86,312.7,7.9896,-8.63,-235.59,-232.98,2.61,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.966867,2026-08-19T21:45:12.948310,INTC,94.298,94.24,51.5371,-0.16,-7.85,-2.99,4.86,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.968886,2026-08-19T21:45:12.968212,IBKR,89.71,89.45,50.3871,-0.39,-17.61,-13.1,4.51,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.970974,2026-08-19T21:45:12.965653,ANET,189.94,186.01,6.2335,-2.17,-25.67,-24.5,1.17,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.972990,2026-08-19T21:45:12.944801,HPE,55.3649,51.842202,182.5317,-6.45,-651.51,-643.0,8.51,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.974365,2026-08-19T21:45:12.947728,SNDK,1638.0,1587.89,1.5721,-3.16,-81.31,-78.78,2.54,,reconciled_fill,legacy/unknown,legacy
2026-08-19T21:45:12.975752,2026-08-19T21:45:12.975110,NOW,129.4,128.63,19.2179,-0.69,-17.28,-14.8,2.48,,reconciled_fill,legacy/unknown,legacy
